Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.07, 12.5, 80, 80, 0
Numerical Parameters: NX, NY, ts, delta = 241, 241, 0.5, 0.0001 
File written: Tue Sep 26 23:51:22 2023
Comments: 2D 





Ascii values of u and v follow
0.160398 0.469537
0.214923 0.505518
0.288877 0.550454
0.383606 0.605188
0.496614 0.662795
0.619035 0.709214
0.735852 0.733579
0.83222 0.734582
0.901133 0.719603
0.944617 0.699212
0.969135 0.682179
0.980795 0.67273
0.982773 0.671607
0.973953 0.678699
0.947293 0.693419
0.888556 0.711611
0.781508 0.719107
0.62745 0.691787
0.459272 0.618217
0.31439 0.522033
0.206646 0.43674
0.133423 0.366953
0.0861397 0.310135
0.056324 0.263549
0.0377196 0.224949
0.0263277 0.192721
0.0199268 0.165701
0.0177168 0.142989
0.0202962 0.123856
0.0300498 0.107695
0.0519668 0.0940061
0.0945886 0.0823755
0.169667 0.0724624
0.28689 0.0639888
0.440777 0.0587886
0.600808 0.0774296
0.732222 0.13049
0.823202 0.203936
0.880315 0.280266
0.914288 0.34951
0.933626 0.408165
0.943911 0.455886
0.948684 0.493487
0.950307 0.522091
0.950479 0.54282
0.950459 0.556714
0.951126 0.564712
0.952956 0.567681
0.956026 0.566454
0.960079 0.56189
0.96465 0.554911
0.969217 0.546522
0.973333 0.537769
0.976692 0.52968
0.979132 0.523166
0.980599 0.51895
0.981087 0.517492
0.000178602 0.149332
0.000193793 0.145125
0.000243828 0.133284
0.00034536 0.116779
0.000540606 0.0995324
0.000932676 0.083826
0.00176901 0.070229
0.0036306 0.0587209
0.00785043 0.0491585
0.017404 0.0413118
0.0386465 0.0348665
0.0839915 0.0295083
0.173141 0.0250041
0.323063 0.0211987
0.517224 0.0263848
0.695226 0.0757363
0.817181 0.167626
0.888513 0.274189
0.927559 0.376259
0.94755 0.466829
0.954717 0.544693
0.949648 0.610455
0.927992 0.664624
0.881092 0.705991
0.799269 0.729584
0.680383 0.726582
0.538412 0.691216
0.398184 0.631309
0.279137 0.567269
0.188435 0.512337
0.124602 0.466169
0.0818922 0.427615
0.0540654 0.395722
0.0361006 0.369692
0.0244721 0.348866
0.0168669 0.332682
0.0118169 0.320653
0.00840349 0.312316
0.00605443 0.307159
0.00441262 0.304512
0.00325345 0.303427
0.00243328 0.302595
0.00185779 0.300441
0.00146332 0.295426
0.00120677 0.286392
0.00106098 0.272708
0.00101334 0.254467
0.00106689 0.232818
0.00124398 0.209848
0.00159245 0.187636
0.00219417 0.167447
0.0031753 0.149777
0.0047176 0.134782
0.00706957 0.122584
0.0105565 0.113376
0.0155889 0.107461
0.0226711 0.105295
0.0324168 0.107391
0.0455785 0.114382
0.0631028 0.126925
0.0862035 0.145634
0.116414 0.171252
0.155559 0.204997
0.205617 0.249023
0.26858 0.306746
0.346537 0.382821
0.442123 0.474708
0.555631 0.55836
0.675788 0.604969
0.779145 0.599927
0.84614 0.548703
0.87234 0.463932
0.860364 0.355714
0.80735 0.235386
0.700828 0.126021
0.533086 0.0635133
0.337987 0.0578362
0.181088 0.0664938
0.0864854 0.0757624
0.0386597 0.0856112
0.0167137 0.0960241
0.00716669 0.106985
0.00314452 0.118451
0.00148378 0.130312
0.000803806 0.142333
0.000522479 0.154036
0.000401685 0.164574
0.000347312 0.172734
0.000323938 0.177226
0.00031953 0.177198
0.000331823 0.172566
0.000364758 0.163919
0.000431595 0.152188
0.000567001 0.138378
0.000857717 0.123447
0.001515 0.108283
0.00304038 0.0936517
0.00659407 0.0801336
0.0147819 0.068082
0.0332097 0.0576221
0.0730014 0.0487056
0.152612 0.0411877
0.290843 0.0348865
0.479528 0.0341722
0.663711 0.0731529
0.795731 0.159264
0.874714 0.265334
0.918266 0.369085
0.9406 0.461482
0.949052 0.540577
0.945715 0.606853
0.929163 0.661099
0.896104 0.703315
0.843817 0.732095
0.773313 0.745066
0.691248 0.741027
0.608144 0.722442
0.53398 0.695591
0.475089 0.668
0.434084 0.645723
0.411373 0.632386
0.406615 0.62968
0.419551 0.638111
0.450236 0.657188
0.498683 0.684858
0.563788 0.716633
0.641665 0.745459
0.724442 0.763461
0.801538 0.765127
0.863821 0.749188
0.907273 0.717334
0.932937 0.67148
0.944092 0.612248
0.94339 0.539033
0.930966 0.45081
0.902881 0.34755
0.849121 0.233336
0.752396 0.122862
0.596717 0.0460276
0.39943 0.024584
0.223949 0.0293338
0.110224 0.0358509
0.050145 0.0437229
0.0218298 0.0528671
0.00930213 0.0629105
0.00401897 0.0726341
0.00200452 0.0799113
0.00164669 0.0830107
0.00263169 0.0814545
0.00571104 0.0756095
0.0131864 0.0668247
0.0302779 0.0571746
0.0675422 0.0481336
0.142938 0.0402089
0.276101 0.033472
0.462503 0.031066
0.649855 0.0655718
0.786892 0.148631
0.869556 0.253762
0.91502 0.357404
0.937779 0.449679
0.945136 0.528352
0.938614 0.593772
0.915631 0.646393
0.871309 0.685213
0.801571 0.706734
0.707551 0.705782
0.598133 0.6795
0.486752 0.631961
0.384826 0.574102
0.298291 0.518476
0.228639 0.471634
0.175046 0.432949
0.13531 0.401373
0.106759 0.376073
0.0868938 0.356408
0.0736969 0.341906
0.0657229 0.332245
0.062071 0.327243
0.0623358 0.326853
0.0665802 0.331158
0.0753473 0.340384
0.0897127 0.354903
0.111355 0.37526
0.142586 0.402216
0.186245 0.4368
0.2453 0.480328
0.322094 0.534326
0.417379 0.598088
0.528761 0.660718
0.647667 0.707448
0.759356 0.729103
0.849556 0.727652
0.91228 0.71356
0.950372 0.698299
0.97011 0.688674
0.976087 0.686668
0.968316 0.692317
0.940246 0.704682
0.87794 0.719236
0.766548 0.721636
0.610565 0.688408
0.444623 0.610682
0.304001 0.514042
0.200243 0.429527
0.129914 0.360245
0.0844393 0.303813
0.0556793 0.257601
0.0377307 0.219369
0.0269006 0.18748
0.0212934 0.160755
0.0205947 0.138296
0.0262645 0.119377
0.0422143 0.103398
0.0758094 0.0898629
0.138143 0.0783609
0.240494 0.0685556
0.38316 0.0603998
0.542664 0.0680797
0.682534 0.112337
0.784097 0.185308
0.849786 0.267629
0.889276 0.34555
0.911221 0.41312
0.921596 0.468943
0.924336 0.513561
0.92223 0.548178
0.917521 0.574154
0.912175 0.592826
0.907904 0.605413
0.906028 0.612961
0.907313 0.616308
0.911856 0.616117
0.919116 0.612981
0.928089 0.607552
0.93758 0.600624
0.946482 0.593121
0.953963 0.586018
0.959515 0.580214
0.962899 0.576426
0.964031 0.575111
0.000182301 0.149301
0.000198414 0.145092
0.000251997 0.133243
0.000362707 0.116725
0.000580459 0.099459
0.00102681 0.0837319
0.00199222 0.0701165
0.00415553 0.0585948
0.00906589 0.0490248
0.0201543 0.0411761
0.0446482 0.0347321
0.0962715 0.0293771
0.195399 0.024877
0.355503 0.0210856
0.550991 0.0317362
0.719788 0.0905586
0.831309 0.187929
0.895515 0.295703
0.930167 0.396978
0.946795 0.486066
0.949848 0.562183
0.937826 0.625818
0.903935 0.676655
0.838093 0.711347
0.733811 0.721771
0.598831 0.698849
0.456198 0.644
0.328934 0.574839
0.227958 0.512117
0.154198 0.459545
0.103259 0.415679
0.069195 0.379316
0.0467392 0.349451
0.0319651 0.325261
0.0221836 0.306078
0.0156301 0.291364
0.0111701 0.280683
0.00808082 0.273664
0.00590271 0.269949
0.00434368 0.269117
0.00321709 0.270563
0.00240197 0.273345
0.00181779 0.27609
0.001409 0.277107
0.00113669 0.274797
